"","model","n","MSE"
"1","Longtree",10,174.627364053248
"2","Longtree",20,343.725364479524
"3","Longtree",30,208.832680817534
"4","Longtree",40,303.29538698626
"5","Longtree",50,107.166650538082
"6","Longtree",60,62.5247699847642
"7","Longtree",70,109.069186426803
"8","Longtree",80,79.2091957572617
"9","Longtree",100,38.7158856648334
"10","Longtree",150,46.7804658551142
"11","Longtree",200,50.8825506149126
"12","Longtree",300,41.5301346734737
"13","Longtree",400,37.9008103268462
"14","Longtree",500,39.8235937785244
"15","Longtree",1000,42.8848907243358
"16","Random Forest",10,169.400098771264
"17","Random Forest",20,222.80840737671
"18","Random Forest",30,144.280240989447
"19","Random Forest",40,193.305959761066
"20","Random Forest",50,134.480628534051
"21","Random Forest",60,128.427483554879
"22","Random Forest",70,126.060453428592
"23","Random Forest",80,131.450692958427
"24","Random Forest",100,106.950495883732
"25","Random Forest",150,76.9572528580797
"26","Random Forest",200,73.4737195096966
"27","Random Forest",300,83.8215675785496
"28","Random Forest",400,64.092357059809
"29","Random Forest",500,70.2364513266637
"30","Random Forest",1000,53.2796837584537
"31","RE-EM Tree",10,252.10878357752
"32","RE-EM Tree",20,275.473186733579
"33","RE-EM Tree",30,158.870770339121
"34","RE-EM Tree",40,224.566941485969
"35","RE-EM Tree",50,166.520564989185
"36","RE-EM Tree",60,166.075761314731
"37","RE-EM Tree",70,164.363333906773
"38","RE-EM Tree",80,165.142620697323
"39","RE-EM Tree",100,127.798055244384
"40","RE-EM Tree",150,107.936822329149
"41","RE-EM Tree",200,106.489224668165
"42","RE-EM Tree",300,113.237693877715
"43","RE-EM Tree",400,98.7328900061626
"44","RE-EM Tree",500,100.506330892814
"45","RE-EM Tree",1000,76.4083919280893
"210","GLMM Tree",150,371.559687911082
"310","GLMM Tree",200,325.288661659983
"46","GLMM Tree",300,240.275026921061
"51","GLMM Tree",400,200.666257788501
"61","GLMM Tree",500,189.55005531325
"71","GLMM Tree",1000,168.425774450686
