"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy"
"1",100,0.1,1,2,58.3542917603471,TRUE
"2",100,0.1,1,2,58.3542917603471,FALSE
"3",100,0.1,1,5,58.3542917603471,TRUE
"4",100,0.1,1,5,58.3542917603471,FALSE
"5",100,0.1,4,2,58.3542917603471,TRUE
"6",100,0.1,4,2,58.3542917603471,FALSE
"7",100,0.1,4,5,58.3542917603471,TRUE
"8",100,0.1,4,5,58.3542917603471,FALSE
"9",100,0.2,1,2,58.3542917603471,TRUE
"10",100,0.2,1,2,58.3542917603471,FALSE
"11",100,0.2,1,5,58.3542917603471,TRUE
"12",100,0.2,1,5,58.3542917603471,FALSE
"13",100,0.2,4,2,58.3542917603471,TRUE
"14",100,0.2,4,2,58.3542917603471,FALSE
"15",100,0.2,4,5,58.3542917603471,TRUE
"16",100,0.2,4,5,58.3542917603471,FALSE
"17",200,0.1,1,2,40.8090976507006,TRUE
"18",200,0.1,1,2,40.3842012273767,FALSE
"19",200,0.1,1,5,40.8090976507006,TRUE
"20",200,0.1,1,5,40.3842012273767,FALSE
"21",200,0.1,4,2,40.8090976507006,TRUE
"22",200,0.1,4,2,40.3842012273767,FALSE
"23",200,0.1,4,5,40.8090976507006,TRUE
"24",200,0.1,4,5,40.3842012273767,FALSE
"25",200,0.2,1,2,41.2746775169244,TRUE
"26",200,0.2,1,2,40.3842012273767,FALSE
"27",200,0.2,1,5,41.2746775169244,TRUE
"28",200,0.2,1,5,40.3842012273767,FALSE
"29",200,0.2,4,2,41.2746775169244,TRUE
"30",200,0.2,4,2,40.3842012273767,FALSE
"31",200,0.2,4,5,41.2746775169244,TRUE
"32",200,0.2,4,5,40.3842012273767,FALSE
"33",300,0.1,1,2,31.4497206212252,TRUE
"34",300,0.1,1,2,30.4975035484865,FALSE
"35",300,0.1,1,5,31.4497206212252,TRUE
"36",300,0.1,1,5,30.4975035484865,FALSE
"37",300,0.1,4,2,31.4497206212252,TRUE
"38",300,0.1,4,2,30.4975035484865,FALSE
"39",300,0.1,4,5,31.4497206212252,TRUE
"40",300,0.1,4,5,30.4975035484865,FALSE
"41",300,0.2,1,2,18.333540584863,TRUE
"42",300,0.2,1,2,30.079545305707,FALSE
"43",300,0.2,1,5,18.333540584863,TRUE
"44",300,0.2,1,5,30.079545305707,FALSE
"45",300,0.2,4,2,18.333540584863,TRUE
"46",300,0.2,4,2,30.079545305707,FALSE
"47",300,0.2,4,5,18.333540584863,TRUE
"48",300,0.2,4,5,30.079545305707,FALSE
"49",400,0.1,1,2,27.5563315833604,TRUE
"50",400,0.1,1,2,13.8949421758324,FALSE
"51",400,0.1,1,5,27.5563315833604,TRUE
"52",400,0.1,1,5,13.8949421758324,FALSE
"53",400,0.1,4,2,27.5563315833604,TRUE
"54",400,0.1,4,2,13.8949421758324,FALSE
"55",400,0.1,4,5,27.5563315833604,TRUE
"56",400,0.1,4,5,13.8949421758324,FALSE
"57",400,0.2,1,2,11.8099873174371,TRUE
"58",400,0.2,1,2,12.8446121629143,FALSE
"59",400,0.2,1,5,11.8099873174371,TRUE
"60",400,0.2,1,5,12.8446121629143,FALSE
"61",400,0.2,4,2,11.8099873174371,TRUE
"62",400,0.2,4,2,12.8446121629143,FALSE
"63",400,0.2,4,5,11.8099873174371,TRUE
"64",400,0.2,4,5,12.8446121629143,FALSE
"65",500,0.1,1,2,12.4046469709363,TRUE
"66",500,0.1,1,2,14.2717527085928,FALSE
"67",500,0.1,1,5,12.4046469709363,TRUE
"68",500,0.1,1,5,14.2717527085928,FALSE
"69",500,0.1,4,2,12.4046469709363,TRUE
"70",500,0.1,4,2,14.2717527085928,FALSE
"71",500,0.1,4,5,12.4046469709363,TRUE
"72",500,0.1,4,5,14.2717527085928,FALSE
"73",500,0.2,1,2,12.4046469709363,TRUE
"74",500,0.2,1,2,15.0453061842621,FALSE
"75",500,0.2,1,5,12.4046469709363,TRUE
"76",500,0.2,1,5,15.0453061842621,FALSE
"77",500,0.2,4,2,12.4046469709363,TRUE
"78",500,0.2,4,2,15.0453061842621,FALSE
"79",500,0.2,4,5,12.4046469709363,TRUE
"80",500,0.2,4,5,15.0453061842621,FALSE
"81",600,0.1,1,2,10.3021301915088,TRUE
"82",600,0.1,1,2,11.5843058867291,FALSE
"83",600,0.1,1,5,10.3021301915088,TRUE
"84",600,0.1,1,5,11.5843058867291,FALSE
"85",600,0.1,4,2,10.3021301915088,TRUE
"86",600,0.1,4,2,11.5843058867291,FALSE
"87",600,0.1,4,5,10.3021301915088,TRUE
"88",600,0.1,4,5,11.5843058867291,FALSE
"89",600,0.2,1,2,10.3021301915088,TRUE
"90",600,0.2,1,2,12.2676023985169,FALSE
"91",600,0.2,1,5,10.3021301915088,TRUE
"92",600,0.2,1,5,12.2676023985169,FALSE
"93",600,0.2,4,2,10.3021301915088,TRUE
"94",600,0.2,4,2,12.2676023985169,FALSE
"95",600,0.2,4,5,10.3021301915088,TRUE
"96",600,0.2,4,5,12.2676023985169,FALSE
"97",700,0.1,1,2,10.7415975601442,TRUE
"98",700,0.1,1,2,13.5435494410794,FALSE
"99",700,0.1,1,5,10.7415975601442,TRUE
"100",700,0.1,1,5,13.5435494410794,FALSE
"101",700,0.1,4,2,10.7415975601442,TRUE
"102",700,0.1,4,2,13.5435494410794,FALSE
"103",700,0.1,4,5,10.7415975601442,TRUE
"104",700,0.1,4,5,13.5435494410794,FALSE
"105",700,0.2,1,2,10.7415975601442,TRUE
"106",700,0.2,1,2,12.0413713968096,FALSE
"107",700,0.2,1,5,10.7415975601442,TRUE
"108",700,0.2,1,5,12.0413713968096,FALSE
"109",700,0.2,4,2,10.7415975601442,TRUE
"110",700,0.2,4,2,12.0413713968096,FALSE
