"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy","model"
"1",100,0.01,0.02,0.3,273.113274506662,TRUE,"Longtree"
"2",100,0.01,0.02,0.3,132.749052695558,FALSE,"Longtree"
"3",100,0.01,0.02,0.5,273.113274506662,TRUE,"Longtree"
"4",100,0.01,0.02,0.5,132.749052695558,FALSE,"Longtree"
"5",100,0.01,0.02,0.7,79.00184510353,TRUE,"Longtree"
"6",100,0.01,0.02,0.7,56.3291576059713,FALSE,"Longtree"
"7",100,0.01,0.04,0.3,273.113274506662,TRUE,"Longtree"
"8",100,0.01,0.04,0.3,132.749052695558,FALSE,"Longtree"
"9",100,0.01,0.04,0.5,79.00184510353,TRUE,"Longtree"
"10",100,0.01,0.04,0.5,56.3291576059713,FALSE,"Longtree"
"11",100,0.01,0.04,0.7,58.3542917603471,TRUE,"Longtree"
"12",100,0.01,0.04,0.7,57.3710925983802,FALSE,"Longtree"
"13",100,0.01,0.08,0.3,273.113274506662,TRUE,"Longtree"
"14",100,0.01,0.08,0.3,132.749052695558,FALSE,"Longtree"
"15",100,0.01,0.08,0.5,79.00184510353,TRUE,"Longtree"
"16",100,0.01,0.08,0.5,56.3291576059713,FALSE,"Longtree"
"17",100,0.01,0.08,0.7,58.3542917603471,TRUE,"Longtree"
"18",100,0.01,0.08,0.7,57.3710925983802,FALSE,"Longtree"
"19",100,0.01,0.2,0.3,273.113274506662,TRUE,"Longtree"
"20",100,0.01,0.2,0.3,132.749052695558,FALSE,"Longtree"
"21",100,0.01,0.2,0.5,79.00184510353,TRUE,"Longtree"
"22",100,0.01,0.2,0.5,56.3291576059713,FALSE,"Longtree"
"23",100,0.01,0.2,0.7,58.3542917603471,TRUE,"Longtree"
"24",100,0.01,0.2,0.7,57.3710925983802,FALSE,"Longtree"
"25",100,0.05,0.02,0.3,273.113274506662,TRUE,"Longtree"
"26",100,0.05,0.02,0.3,132.749052695558,FALSE,"Longtree"
"27",100,0.05,0.02,0.5,273.113274506662,TRUE,"Longtree"
"28",100,0.05,0.02,0.5,132.749052695558,FALSE,"Longtree"
"29",100,0.05,0.02,0.7,79.00184510353,TRUE,"Longtree"
"30",100,0.05,0.02,0.7,56.3291576059713,FALSE,"Longtree"
"31",100,0.05,0.04,0.3,273.113274506662,TRUE,"Longtree"
"32",100,0.05,0.04,0.3,132.749052695558,FALSE,"Longtree"
"33",100,0.05,0.04,0.5,79.00184510353,TRUE,"Longtree"
"34",100,0.05,0.04,0.5,56.3291576059713,FALSE,"Longtree"
"35",100,0.05,0.04,0.7,58.3542917603471,TRUE,"Longtree"
"36",100,0.05,0.04,0.7,57.3710925983802,FALSE,"Longtree"
"37",100,0.05,0.08,0.3,273.113274506662,TRUE,"Longtree"
"38",100,0.05,0.08,0.3,132.749052695558,FALSE,"Longtree"
"39",100,0.05,0.08,0.5,79.00184510353,TRUE,"Longtree"
"40",100,0.05,0.08,0.5,56.3291576059713,FALSE,"Longtree"
"41",100,0.05,0.08,0.7,58.3542917603471,TRUE,"Longtree"
"42",100,0.05,0.08,0.7,57.3710925983802,FALSE,"Longtree"
"43",100,0.05,0.2,0.3,273.113274506662,TRUE,"Longtree"
"44",100,0.05,0.2,0.3,132.749052695558,FALSE,"Longtree"
"45",100,0.05,0.2,0.5,79.00184510353,TRUE,"Longtree"
"46",100,0.05,0.2,0.5,56.3291576059713,FALSE,"Longtree"
"47",100,0.05,0.2,0.7,58.3542917603471,TRUE,"Longtree"
"48",100,0.05,0.2,0.7,57.3710925983802,FALSE,"Longtree"
"49",100,0.1,0.02,0.3,273.113274506662,TRUE,"Longtree"
"50",100,0.1,0.02,0.3,132.749052695558,FALSE,"Longtree"
"51",100,0.1,0.02,0.5,273.113274506662,TRUE,"Longtree"
"52",100,0.1,0.02,0.5,132.749052695558,FALSE,"Longtree"
"53",100,0.1,0.02,0.7,79.00184510353,TRUE,"Longtree"
"54",100,0.1,0.02,0.7,56.3291576059713,FALSE,"Longtree"
"55",100,0.1,0.04,0.3,273.113274506662,TRUE,"Longtree"
"56",100,0.1,0.04,0.3,132.749052695558,FALSE,"Longtree"
"57",100,0.1,0.04,0.5,79.00184510353,TRUE,"Longtree"
"58",100,0.1,0.04,0.5,56.3291576059713,FALSE,"Longtree"
"59",100,0.1,0.04,0.7,58.3542917603471,TRUE,"Longtree"
"60",100,0.1,0.04,0.7,57.3710925983802,FALSE,"Longtree"
"61",100,0.1,0.08,0.3,273.113274506662,TRUE,"Longtree"
"62",100,0.1,0.08,0.3,132.749052695558,FALSE,"Longtree"
"63",100,0.1,0.08,0.5,79.00184510353,TRUE,"Longtree"
"64",100,0.1,0.08,0.5,56.3291576059713,FALSE,"Longtree"
"65",100,0.1,0.08,0.7,58.3542917603471,TRUE,"Longtree"
"66",100,0.1,0.08,0.7,57.3710925983802,FALSE,"Longtree"
"67",100,0.1,0.2,0.3,273.113274506662,TRUE,"Longtree"
"68",100,0.1,0.2,0.3,132.749052695558,FALSE,"Longtree"
"69",100,0.1,0.2,0.5,79.00184510353,TRUE,"Longtree"
"70",100,0.1,0.2,0.5,56.3291576059713,FALSE,"Longtree"
"71",100,0.1,0.2,0.7,58.3542917603471,TRUE,"Longtree"
"72",100,0.1,0.2,0.7,57.3710925983802,FALSE,"Longtree"
"73",100,0.2,0.02,0.3,273.113274506662,TRUE,"Longtree"
"74",100,0.2,0.02,0.3,132.749052695558,FALSE,"Longtree"
"75",100,0.2,0.02,0.5,273.113274506662,TRUE,"Longtree"
"76",100,0.2,0.02,0.5,132.749052695558,FALSE,"Longtree"
"77",100,0.2,0.02,0.7,79.00184510353,TRUE,"Longtree"
"78",100,0.2,0.02,0.7,53.5958084695277,FALSE,"Longtree"
"79",100,0.2,0.04,0.3,273.113274506662,TRUE,"Longtree"
"80",100,0.2,0.04,0.3,132.749052695558,FALSE,"Longtree"
"81",100,0.2,0.04,0.5,79.00184510353,TRUE,"Longtree"
"82",100,0.2,0.04,0.5,53.5958084695277,FALSE,"Longtree"
"83",100,0.2,0.04,0.7,58.3542917603471,TRUE,"Longtree"
"84",100,0.2,0.04,0.7,57.3710925983802,FALSE,"Longtree"
"85",100,0.2,0.08,0.3,273.113274506662,TRUE,"Longtree"
"86",100,0.2,0.08,0.3,132.749052695558,FALSE,"Longtree"
"87",100,0.2,0.08,0.5,79.00184510353,TRUE,"Longtree"
"88",100,0.2,0.08,0.5,53.5958084695277,FALSE,"Longtree"
"89",100,0.2,0.08,0.7,58.3542917603471,TRUE,"Longtree"
"90",100,0.2,0.08,0.7,57.3710925983802,FALSE,"Longtree"
"91",100,0.2,0.2,0.3,273.113274506662,TRUE,"Longtree"
"92",100,0.2,0.2,0.3,132.749052695558,FALSE,"Longtree"
"93",100,0.2,0.2,0.5,79.00184510353,TRUE,"Longtree"
"94",100,0.2,0.2,0.5,53.5958084695277,FALSE,"Longtree"
"95",100,0.2,0.2,0.7,58.3542917603471,TRUE,"Longtree"
"96",100,0.2,0.2,0.7,57.3710925983802,FALSE,"Longtree"
"97",100,0.3,0.02,0.3,273.113274506662,TRUE,"Longtree"
"98",100,0.3,0.02,0.3,132.749052695558,FALSE,"Longtree"
"99",100,0.3,0.02,0.5,273.113274506662,TRUE,"Longtree"
"100",100,0.3,0.02,0.5,132.749052695558,FALSE,"Longtree"
"101",100,0.3,0.02,0.7,79.00184510353,TRUE,"Longtree"
"102",100,0.3,0.02,0.7,53.5958084695277,FALSE,"Longtree"
"103",100,0.3,0.04,0.3,79.00184510353,TRUE,"Longtree"
"104",100,0.3,0.04,0.3,53.5958084695277,FALSE,"Longtree"
"105",100,0.3,0.04,0.5,57.4757773218434,TRUE,"Longtree"
"106",100,0.3,0.04,0.5,51.2119393749491,FALSE,"Longtree"
"107",100,0.3,0.04,0.7,57.4757773218434,TRUE,"Longtree"
"108",100,0.3,0.04,0.7,58.7618890352884,FALSE,"Longtree"
