"","model","n","MSE"
"1","Longtree",10,294.867773235877
"2","Longtree",20,315.655177678163
"3","Longtree",30,220.800558459576
"4","Longtree",40,206.851462806437
"5","Longtree",50,261.871010191495
"6","Longtree",60,114.657803304697
"7","Longtree",70,98.2271367106957
"8","Longtree",80,96.781207212056
"9","Longtree",100,64.5124727260362
"10","Longtree",150,71.075578609857
"11","Longtree",200,47.2204265509602
"12","Longtree",300,16.122346295397
"13","Longtree",400,36.8993951610346
"14","Longtree",500,37.6931918162795
"15","Longtree",1000,43.8466305155647
"16","Random Forest",30,198.832103277994
"17","Random Forest",50,162.701234437771
"18","Random Forest",70,126.695294235471
"19","Random Forest",150,93.2360374179001
"20","Random Forest",400,74.1736630867856
"21","Random Forest",1000,56.9257400394066
"22","REEM Tree",30,244.231930473592
"23","REEM Tree",50,231.71484879467
"24","REEM Tree",70,156.884639168433
"25","REEM Tree",150,119.54641177686
"26","REEM Tree",400,103.806968239516
"27","REEM Tree",1000,79.0150986892055
"28","Bagging REEM Trees",30,175.711652258415
"29","Bagging REEM Trees",50,149.175551453035
"30","Bagging REEM Trees",70,104.248648163606
"31","Bagging REEM Trees",150,75.9018700682345
"32","Bagging REEM Trees",400,67.2466978950996
"33","Bagging REEM Trees",1000,53.0187733403367
"34","Random Forest",10,274.913753959976
"35","Random Forest",20,213.514203808696
"36","Random Forest",40,175.998978189127
"37","Random Forest",60,139.169182480621
"38","Random Forest",80,129.616943581697
"39","Random Forest",100,113.844001534458
"40","Random Forest",200,94.7462113983415
"41","Random Forest",300,77.8152011999777
"42","Random Forest",500,69.0099178135458
"43","REEM Tree",10,330.675221480183
"44","REEM Tree",20,329.579018314001
"45","REEM Tree",40,232.091127663623
"46","REEM Tree",60,204.69912733048
"47","REEM Tree",80,190.151164858418
"48","REEM Tree",100,128.791632522964
"49","REEM Tree",200,123.13849965973
"50","REEM Tree",300,114.074280126756
"51","REEM Tree",500,99.7348446971208
"52","Bagging REEM Trees",10,176.054904214394
"53","Bagging REEM Trees",20,179.433105557634
"54","Bagging REEM Trees",40,131.41626775251
"55","Bagging REEM Trees",60,119.175716597465
"56","Bagging REEM Trees",80,105.516464371405
"57","Bagging REEM Trees",100,86.1742636853421
"58","Bagging REEM Trees",200,70.1613353476197
"59","Bagging REEM Trees",300,63.4783960750395
"60","Bagging REEM Trees",500,57.3579860256837
